stkcd,year,total_assets,total_liabilities,fixed_assets,total_current_assets,total_current_liab,net_profit,dep_amort,soe,ind_gate,ind_mid,ind_code_em,m2,m2_growth,lev,npr,size,tang,ndts,liq,growth,ind_code,lev_raw,npr_raw,tang_raw,growth_raw,ndts_raw,liq_raw
000009,2014,14725495570.64,9261367292.35,1654628246.56,10147248049.59,6150755294.24,303325021.75,183683052.02000004,0,工业,电气部件与设备,Z03010301,1228374.807,11.011936395688071,0.6289341671336012,0.020598629111999174,23.412846220969694,0.11236485988689116,0.012473811230246889,1.6497564224498733,0.08181828040103231,CM_other,0.6289341671336012,0.020598629111999174,0.11236485988689116,0.08181828040103231,0.012473811230246889,1.6497564224498733
000009,2015,18113933205.77,11560350527.06,2252462264.2,12534468630.27,8242044558.45,750494524.96,220859242.79,0,工业,电气部件与设备,Z03010301,1392278.10919881,13.34310189893124,0.6382021174383912,0.04143189203772365,23.61994726945558,0.12434970575482204,0.012192782223556374,1.5207960283858541,0.2301068659370581,CM_other,0.6382021174383912,0.04143189203772365,0.12434970575482204,0.2301068659370581,0.012192782223556374,1.5207960283858541
000009,2016,21622925841.2,13488187993.04,2988464386.74,14100133636.79,9973637013.83,233383867.18,294427009.01,0,工业,电气部件与设备,Z03010301,1550066.66781086,11.333120701211753,0.6237910675039087,0.010793352800355717,23.797019970306426,0.13820814115015945,0.013616427821668942,1.4137404055549616,0.19371787427769957,CM_other,0.6237910675039087,0.010793352800355717,0.13820814115015945,0.19371787427769957,0.013616427821668942,1.4137404055549616
000009,2017,27109464910.13,17163559482.16,3714894926.65,18214882103.12,11095473345.47,133203837.23,433336229.75000006,0,工业,电气部件与设备,Z03010301,1690235.31468079,9.042749565596964,0.6331205554612953,0.004913554644902847,24.023148762531836,0.1370331335924618,0.015984683990869743,1.6416498454801547,0.2537371264750874,CM_other,0.6331205554612953,0.004913554644902847,0.1370331335924618,0.2537371264750874,0.015984683990869743,1.6416498454801547
000009,2018,29849801106.4,19399254079.98,4184108030.6,20135017881.68,12857121626.16,213780584.63,500563275.07,0,工业,电气部件与设备,Z03010301,1826744.21571345,8.076325222115033,0.6498955892815201,0.0071618763511346805,24.119444013660647,0.14017205728392268,0.016769400683298887,1.5660595323849067,0.10108411233325444,CM_other,0.6498955892815201,0.0071618763511346805,0.14017205728392268,0.10108411233325444,0.016769400683298887,1.5660595323849067
000009,2019,30209805595.97,19502215277.67,4663303248.79,19695647223.85,12308558110.72,301136296.48,986726614.19,0,工业,电气部件与设备,Z03010301,1986488.82,8.744771321154033,0.6455591121139688,0.009968163996400286,24.131432397235574,0.15436389466246966,0.03266246156584436,1.6001587713752026,0.012060532272451633,CM_other,0.6455591121139688,0.009968163996400286,0.15436389466246966,0.012060532272451633,0.03266246156584436,1.6001587713752026
000009,2020,31856615637.93,18611186207.17,4599721483.8,21167803566.99,11554416639.73,661761423.4,1012647176.43,0,工业,电气部件与设备,Z03010301,2186795.89,10.083473311468216,0.5842173072839111,0.02077312389116675,24.184510909732253,0.14438826572410138,0.03178765716796024,1.8320097177562609,0.054512434273317006,CM_other,0.5842173072839111,0.02077312389116675,0.14438826572410138,0.054512434273317006,0.03178765716796024,1.8320097177562609
000009,2021,37073195202.73,21414358734.26,4928474079.05,23879391962.19,15427100564.11,1035599088.75,1213381640.64,0,工业,电气部件与设备,Z03010301,2382899.56,8.967625689108093,0.5776237687946326,0.02793390435021744,24.336160044155847,0.13293901569851946,0.0327293515976915,1.5478859337796516,0.16375184432927947,CM_other,0.5776237687946326,0.02793390435021744,0.13293901569851946,0.16375184432927947,0.0327293515976915,1.5478859337796516
000009,2022,52391453475.9,33549076382.58,7873049206.87,34986065478.91,24191924564.46,1157117454.23,1503009115.7499998,0,工业,电气部件与设备,Z03010301,2664320.84,11.81003533359164,0.6403539920497249,0.022085996426158945,24.68200931336593,0.15027354052110029,0.028688059140053863,1.4461877716958293,0.41318958858021465,CM_other,0.6403539920497249,0.022085996426158945,0.15027354052110029,0.41318958858021465,0.028688059140053863,1.4461877716958293
000009,2023,50100025790.84,29076869622.03,11137252719.43,28938883153.53,15718991033.13,756459343.67,2016341342.09,0,工业,电气部件与设备,Z03010301,2922713.33,9.698249779857605,0.5803763403919494,0.015098981122846182,24.637287359824324,0.22230033904426197,0.04024631345516505,1.8410140378944937,-0.04373666949541797,CM_other,0.5803763403919494,0.015098981122846182,0.22230033904426197,-0.04373666949541797,0.04024631345516505,1.8410140378944937
000009,2024,53774802564.92,32058991536.21,14051313792.48,28907976276.0,15993965718.43,172625210.4,2408907679.49,0,工业,电气部件与设备,Z03010301,3135322.3,7.274369600935171,0.5961712550688878,0.003210150519689906,24.70807084059035,0.26129921677567214,0.04479621615684836,1.8074301761625675,0.07334880004696279,CM_other,0.5961712550688878,0.003210150519689906,0.26129921677567214,0.07334880004696279,0.04479621615684836,1.8074301761625675
000010,2011,238257898.64,144489166.3,39102266.02,179620692.18,143689166.3,5014847.58,7157388.55,0,建筑业,,E48,851590.9,17.32297305487116,0.6064401941121729,0.021047980396978458,19.288864252687766,0.16411739649849874,0.030040509006648227,1.2500642658402006,0.12279117187167929,CM_other,0.6064401941121729,0.021047980396978458,0.16411739649849874,0.12279117187167929,0.030040509006648227,1.2500642658402006
000010,2012,534175079.28,346502137.94,43582374.91,468825628.39,346460630.06,37820211.13,14941890.65,0,建筑业,,E48,974148.8,14.391640399163496,0.6486677334461967,0.0708011522757236,20.096234207009097,0.08158818447454248,0.02797189765973315,1.3531858679262023,1.2344357030112594,CM_other,0.6486677334461967,0.0708011522757236,0.08158818447454248,1.2420036537261723,0.02797189765973315,1.3531858679262023
000010,2013,1027789609.41,368104536.16,43670392.88,959796631.67,365872135.63,3140105.46,11255385.989999998,0,建筑业,,E48,1106524.98,13.588907567303888,0.3581516419214527,0.003055202573805518,20.750676322926644,0.04248962285683048,0.010951060301593362,2.62331163868851,0.849206340761183,CM_other,0.3581516419214527,0.003055202573805518,0.04248962285683048,0.924068810539289,0.010951060301593362,2.62331163868851
000010,2014,804218432.41,252627868.25,48110422.88,695949001.79,197549960.19,-74553205.01,12502073.930000002,0,建筑业,,E48,1228374.807,11.011936395688071,0.31412842340973274,-0.0864158517196777,20.505381472346333,0.05982258170311713,0.015545619729872466,3.522901250502145,-0.21752620862584948,CM_other,0.31412842340973274,-0.09270268126855355,0.05982258170311713,-0.21752620862584948,0.015545619729872466,3.522901250502145
